ID,Group,Task,Distance,Trial_ID,Start,End,CorrectDJ,Session,Trial,DJ,DJ_Duration,Navi_Duration,side1,side2,session_start,initial_position,DC_start,DJ_start,DJ_end,navi_start,navi_end,fixation,ini_start_T,DC_start_T,DJ_start_T,rev_start_T,navi_start_T,navi_end_T
MOP001,Old,SP,Far,28,台灣彩券,肯德基,25,3,7,13,2.354,27.5,(E)台灣彩券,(G)肯德基,22:23.1,25:52.3,25:54.3,25:58.3,26:00.6,26:02.8,26:30.3,208.665,209.165,211.165,215.165,217.519,219.702,219.951
MOP001,Old,SP,Near,8,爭鮮,肯德基,8,4,1,12,2.736,66.75,(G)肯德基,(H)爭鮮,27:20.7,27:20.7,27:22.8,27:26.8,27:29.5,27:31.7,28:38.5,-0.5,0,2.018,6.031,8.767,10.985,11.234
MOP001,Old,SP,Moderate,16,全國電子,寶雅,14,4,2,11,1.986,12.5,(A)全國電子,(F)寶雅,27:20.7,28:41.2,28:43.2,28:47.2,28:49.2,28:51.2,29:03.7,79.935,80.435,82.463,86.481,88.467,90.484,90.733
MOP001,Old,SP,Near,4,寶雅,星巴克,6,4,3,15,2.035,12.5,(D)星巴克,(F)寶雅,27:20.7,29:06.4,29:08.4,29:12.4,29:14.5,29:16.7,29:29.2,105.164,105.664,107.681,111.701,113.736,115.984,116.235
MOP001,Old,SP,Moderate,17,肯德基,麥當勞,14,4,4,13,3.546,16,(B)麥當勞,(G)肯德基,27:20.7,29:31.9,29:33.9,29:37.9,29:41.5,29:43.7,29:59.7,130.669,131.169,133.181,137.204,140.75,142.985,143.235
MOP001,Old,SP,Far,21,星巴克,全國電子,16,4,5,12,2.687,24.5,(A)全國電子,(D)星巴克,27:20.7,30:02.4,30:04.4,30:08.5,30:11.1,30:13.2,30:37.7,161.184,161.684,163.702,167.716,170.403,172.481,172.731
MOP001,Old,SP,Far,26,台灣彩券,誠品,22,4,6,15,1.052,36.5,(C)誠品,(E)台灣彩券,27:20.7,30:40.4,30:42.4,30:46.4,30:47.5,30:49.7,31:26.2,199.166,199.666,201.682,205.699,206.751,208.986,209.234
MOP001,Old,SP,Near,9,全國電子,台灣彩券,9,4,7,8,3.57,9.75,(A)全國電子,(E)台灣彩券,27:20.7,31:28.9,31:30.9,31:34.9,31:38.5,31:40.7,31:50.5,247.669,248.169,250.182,254.198,257.768,259.984,260.234
MOP001,Old,SP,Moderate,12,星巴克,麥當勞,12,5,1,13,2.802,14,(B)麥當勞,(D)星巴克,08:49.2,08:49.2,08:51.2,08:55.2,08:58.0,09:00.0,09:14.0,-0.5,0,2.014,6.017,8.819,10.886,11.13
MOP001,Old,SP,Far,27,寶雅,誠品,23,5,2,14,2.388,29.25,(C)誠品,(F)寶雅,08:49.2,09:16.7,09:18.8,09:22.8,09:25.2,09:27.3,09:56.5,27.08,27.58,29.596,33.613,36.001,38.133,38.384
MOP001,Old,SP,Far,20,麥當勞,寶雅,16,5,3,12,3.654,17,(B)麥當勞,(F)寶雅,08:49.2,09:59.2,10:01.3,10:05.3,10:08.9,10:11.0,10:28.0,69.58,70.08,72.097,76.113,79.767,81.883,82.132
MOP001,Old,SP,Near,3,爭鮮,星巴克,6,5,4,12,4.704,9.5,(D)星巴克,(H)爭鮮,08:49.2,10:30.7,10:32.8,10:36.8,10:41.5,10:43.5,10:53.0,101.081,101.581,103.597,107.614,112.318,114.385,114.634
MOP001,Old,SP,Near,6,誠品,肯德基,7,5,5,13,2.197,8.25,(C)誠品,(G)肯德基,08:49.2,10:55.7,10:57.8,11:01.8,11:04.0,11:06.0,11:14.3,126.082,126.582,128.597,132.618,134.815,136.881,137.134
MOP001,Old,SP,Moderate,15,全國電子,爭鮮,14,5,6,13,2.503,17.5,(A)全國電子,(H)爭鮮,08:49.2,11:17.0,11:19.0,11:23.0,11:25.5,11:27.5,11:45.0,147.334,147.834,149.83,153.83,156.333,158.383,158.629
MOP001,Old,SP,Far,28,肯德基,台灣彩券,25,5,7,14,3.018,21.5,(E)台灣彩券,(G)肯德基,08:49.2,11:47.8,11:49.8,11:53.8,11:56.8,11:59.0,12:20.5,178.103,178.603,180.618,184.634,187.652,189.881,190.134
MOP001,Old,SP,Far,23,爭鮮,台灣彩券,17,6,1,13,2.87,29.25,(E)台灣彩券,(H)爭鮮,51:32.1,51:32.1,51:34.1,51:38.1,51:41.0,51:43.0,52:12.3,-0.5,0,2.013,6.03,8.9,10.98,11.234
MOP001,Old,SP,Moderate,11,寶雅,爭鮮,12,6,2,13,2.17,12.25,(F)寶雅,(H)爭鮮,51:32.1,52:15.0,52:17.0,52:21.0,52:23.2,52:25.3,52:37.5,42.43,42.93,44.947,48.963,51.133,53.233,53.482
